city,iata,role,enplanements,country_code,region_name,airport_name,latitude,longitude
Minot,MOT,P-N,126575,US,North Dakota,Minot International Airport,48.2594,-101.28
Williston,XWA,P-N,46577,US,North Dakota,Williston Basin International Airport,48.2597,-103.751
Cleveland,CLE,P-M,4701713,US,Ohio,Cleveland Hopkins International Airport,41.4117,-81.8498
Columbus,LCK,P-N,154475,US,Ohio,Rickenbacker International Airport,39.8138,-82.9278
Eugene,EUG,P-S,566832,US,Oregon,Eugene Airport (Mahlon Sweet Airport),44.1246,-123.212
Medford,MFR,P-S,492217,US,Oregon,Rogue Valley International-Medford Airport,42.3742,-122.873
Portland,PDX,P-M,9804868,US,Oregon,Portland International Airport,45.5887,-122.598
Redmond,RDM,P-S,430562,US,Oregon,Roberts Field,44.2541,-121.15
Erie,ERI,P-N,95342,US,Pennsylvania,Erie International Airport (Tom Ridge Field),42.0831,-80.1739
Pittsburgh,PIT,P-M,4670033,US,Pennsylvania,Pittsburgh International Airport,40.4915,-80.2329
Charleston,CHS,P-M,2192893,US,South Carolina,Charleston International Airport / Charleston Air Force Base,32.8986,-80.0405
Columbia,CAE,P-S,566660,US,South Carolina,Columbia Metropolitan Airport,33.9388,-81.1195
Greenville,GSP,P-S,1133012,US,South Carolina,Greenville-Spartanburg International Airport,34.8957,-82.2189
Rapid City,RAP,P-S,303471,US,South Dakota,Rapid City Regional Airport,44.0453,-103.057
Knoxville,TYS,P-S,1069565,US,Tennessee,McGhee Tyson Airport,35.811,-83.994
Memphis,MEM,P-M,2213083,US,Tennessee,Memphis International Airport,35.0424,-89.9767
Nashville,BNA,P-L,8017347,US,Tennessee,Nashville International Airport,36.1245,-86.6782
Del Rio,DRT,P-N,19879,US,Texas,Del Rio International Airport,29.3742,-100.927
El Paso,ELP,P-S,1438321,US,Texas,El Paso International Airport,31.8072,-106.378
Lubbock,LBB,P-S,405157,US,Texas,Lubbock Preston Smith International Airport,33.6636,-101.823
