City,FAA,IATA,ICAO,Airport,Role,Enplanements
Columbus,CSG,CSG,KCSG,Columbus Airport,P-N,49354.0
Macon,MCN,MCN,KMCN,Middle Georgia Regional Airport,P-N,15431.0
Savannah,SAV,SAV,KSAV,Savannah/Hilton Head International Airport,P-S,1356660.0
Valdosta,VLD,VLD,KVLD,Valdosta Regional Airport,P-N,44609.0
HAWAII,,,,,,
"Hilo, Hawaii",ITO,ITO,PHTO,Hilo International Airport,P-S,599148.0
"Honolulu, Oahu",HNL,HNL,PHNL,Daniel K. Inouye International Airport,P-M,10017149.0
"Kahului, Maui",OGG,OGG,PHOG,Kahului Airport,P-M,3571660.0
"Kailua-Kona, Hawaii",KOA,KOA,PHKO,Ellison Onizuka Kona International Airport at Keahole,P-S,1829020.0
"Kaunakakai, Molokai",MKK,MKK,PHMK,Molokai Airport (Hoolehua Airport),P-N,79336.0
"Lanai City, Lanai",LNY,LNY,PHNY,Lanai Airport,P-N,42061.0
"Lihue, Kauai",LIH,LIH,PHLI,Lihue Airport,P-S,1644590.0
IDAHO,,,,,,
Boise,BOI,BOI,KBOI,Boise Airport (Boise Air Terminal) (Gowen Field),P-M,1943181.0
Hailey / Sun Valley,SUN,SUN,KSUN,Friedman Memorial Airport,P-N,93280.0
Idaho Falls,IDA,IDA,KIDA,Idaho Falls Regional Airport (Fanning Field),P-N,161019.0
Lewiston,LWS,LWS,KLWS,Lewiston–Nez Perce County Airport,P-N,57957.0
Pocatello,PIH,PIH,KPIH,Pocatello Regional Airport,P-N,46303.0
Twin Falls,TWF,TWF,KTWF,Magic Valley Regional Airport (Joslin Field),P-N,47084.0
ILLINOIS,,,,,,
Belleville,BLV,BLV,KBLV,MidAmerica St. Louis Airport / Scott Air Force Base,P-N,147421.0
Bloomington / Normal,BMI,BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal,P-N,164672.0
Champaign / Urbana / Savoy,CMI,CMI,KCMI,University of Illinois - Willard Airport,P-N,70184.0
Chicago,MDW,MDW,KMDW,Chicago Midway International Airport,P-L,10659520.0
Chicago,ORD,ORD,KORD,Chicago O'Hare International Airport,P-L,35843104.0
Decatur,DEC,DEC,KDEC,Decatur Airport,P-N,11216.0
Marion,MWA,MWA,KMWA,Veterans Airport of Southern Illinois (Williamson County Regional Airport),P-N,10558.0
Moline,MLI,MLI,KMLI,Quad Cities International Airport,P-N,272481.0
Peoria,PIA,PIA,KPIA,Peoria International Airport,P-N,315482.0
Rockford,RFD,RFD,KRFD,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),P-N,120494.0
Springfield,SPI,SPI,KSPI,Abraham Lincoln Capital Airport,P-N,50513.0
INDIANA,,,,,,
Evansville,EVV,EVV,KEVV,Evansville Regional Airport,P-N,228850.0
Fort Wayne,FWA,FWA,KFWA,Fort Wayne International Airport,P-S,372030.0
Indianapolis,IND,IND,KIND,Indianapolis International Airport,P-M,4655847.0
South Bend,SBN,SBN,KSBN,South Bend International Airport,P-S,366617.0
IOWA,,,,,,
Cedar Rapids,CID,CID,KCID,Eastern Iowa Airport,P-S,602058.0
Des Moines,DSM,DSM,KDSM,Des Moines International Airport,P-S,1347876.0
Dubuque,DBQ,DBQ,KDBQ,Dubuque Regional Airport,P-N,38831.0
Sioux City,SUX,SUX,KSUX,Sioux Gateway Airport (Brig. General Bud Day Field),P-N,44779.0
Waterloo,ALO,ALO,KALO,Waterloo Regional Airport,P-N,23892.0
KANSAS,,,,,,
Garden City,GCK,GCK,KGCK,Garden City Regional Airport,P-N,25243.0
Hays,HYS,HYS,KHYS,Hays Regional Airport,P-N,11996.0
Manhattan,MHK,MHK,KMHK,Manhattan Regional Airport,P-N,72883.0
Salina,SLN,SLN,KSLN,Salina Regional Airport,P-N,15977.0
Wichita,ICT,ICT,KICT,Wichita Dwight D. Eisenhower National Airport (was Wichita Mid-Continent Airport),P-S,812252.0
KENTUCKY,,,,,,
Cincinnati/Covington,CVG,CVG,KCVG,Cincinnati/Northern Kentucky International Airport,P-M,4269258.0
Lexington,LEX,LEX,KLEX,Blue Grass Airport,P-S,657018.0
Louisville,SDF,SDF,KSDF,Louisville Muhammad Ali International Airport (Standiford Field),P-S,1877861.0
Owensboro,OWB,OWB,KOWB,Owensboro–Daviess County Regional Airport,P-N,19532.0
Paducah,PAH,PAH,KPAH,Barkley Regional Airport,P-N,20934.0
LOUISIANA,,,,,,
Alexandria,AEX,AEX,KAEX,Alexandria International Airport,P-N,141173.0
Baton Rouge,BTR,BTR,KBTR,Baton Rouge Metropolitan Airport (Ryan Field),P-N,390107.0
Lafayette,LFT,LFT,KLFT,Lafayette Regional Airport (Paul Fournet Field),P-N,223529.0
Lake Charles,LCH,LCH,KLCH,Lake Charles Regional Airport,P-N,58122.0
Monroe,MLU,MLU,KMLU,Monroe Regional Airport,P-N,107107.0
New Orleans,MSY,MSY,KMSY,Louis Armstrong New Orleans International Airport,P-M,6582066.0
