City,FAA,IATA,ICAO,Airport,Role,Enplanements
Dallas–Fort Worth,DFW,DFW,KDFW,Dallas Fort Worth International Airport,P-L,30005266.0
Del Rio,DRT,DRT,KDRT,Del Rio International Airport,P-N,19879.0
El Paso,ELP,ELP,KELP,El Paso International Airport,P-S,1438321.0
Harlingen,HRL,HRL,KHRL,Valley International Airport,P-S,355190.0
Houston,IAH,IAH,KIAH,George Bush Intercontinental/Houston Airport,P-L,16242821.0
Houston,HOU,HOU,KHOU,William P. Hobby Airport,P-M,5560780.0
Killeen,GRK,GRK,KGRK,Killeen Regional Airport / Robert Gray Army Airfield,P-N,142253.0
Laredo,LRD,LRD,KLRD,Laredo International Airport,P-N,108992.0
Longview,GGG,GGG,KGGG,East Texas Regional Airport,P-N,23942.0
Lubbock,LBB,LBB,KLBB,Lubbock Preston Smith International Airport,P-S,405157.0
McAllen,MFE,MFE,KMFE,McAllen Miller International Airport,P-S,477636.0
Midland / Odessa,MAF,MAF,KMAF,Midland International Air and Space Port,P-S,504264.0
San Angelo,SJT,SJT,KSJT,San Angelo Regional Airport (Mathis Field),P-N,60115.0
San Antonio,SAT,SAT,KSAT,San Antonio International Airport,P-M,3677643.0
Tyler,TYR,TYR,KTYR,Tyler Pounds Regional Airport,P-N,39943.0
Waco,ACT,ACT,KACT,Waco Regional Airport,P-N,47541.0
Wichita Falls,SPS,SPS,KSPS,Wichita Falls Municipal Airport / Sheppard Air Force Base,P-N,32038.0
UTAH,,,,,,
Cedar City,CDC,CDC,KCDC,Cedar City Regional Airport,P-N,12807.0
Moab,CNY,CNY,KCNY,Canyonlands Regional Airport,P-N,20093.0
Ogden,OGD,OGD,KOGD,Ogden–Hinckley Airport,P-N,29857.0
Provo,PVU,PVU,KPVU,Provo Municipal Airport,P-N,118740.0
St. George,SGU,SGU,KSGU,St. George Regional Airport,P-N,153200.0
Salt Lake City,SLC,SLC,KSLC,Salt Lake City International Airport,P-L,10795906.0
VERMONT,,,,,,
Burlington,BTV,BTV,KBTV,Patrick Leahy Burlington International Airport,P-S,658879.0
VIRGINIA,,,,,,
Charlottesville,CHO,CHO,KCHO,Charlottesville–Albemarle Airport,P-N,352816.0
Lynchburg,LYH,LYH,KLYH,Lynchburg Regional Airport (Preston Glenn Field),P-N,83392.0
Newport News,PHF,PHF,KPHF,Newport News/Williamsburg International Airport (Patrick Henry Field),P-N,195573.0
Norfolk,ORF,ORF,KORF,Norfolk International Airport,P-S,1846031.0
Richmond,RIC,RIC,KRIC,Richmond International Airport (Byrd Field),P-S,2048691.0
Roanoke,ROA,ROA,KROA,Roanoke–Blacksburg Regional Airport (Woodrum Field),P-N,330063.0
Staunton / Waynesboro / Harrisonburg,SHD,SHD,KSHD,Shenandoah Valley Regional Airport,P-N,12179.0
"Washington, D.C. / Arlington",DCA,DCA,KDCA,Ronald Reagan Washington National Airport,P-L,11366771.0
"Washington, D.C. / Dulles / Chantilly",IAD,IAD,KIAD,Washington Dulles International Airport,P-L,11621623.0
WASHINGTON,,,,,,
Bellingham,BLI,BLI,KBLI,Bellingham International Airport,P-N,368186.0
Eastsound,ORS,ESD,KORS,Orcas Island Airport,P-N,10101.0
Everett,PAE,PAE,KPAE,Paine Field (Snohomish County Airport),P-N,3037.0
Friday Harbor,FHR,FRD,KFHR,Friday Harbor Airport,P-N,13497.0
Pasco,PSC,PSC,KPSC,Tri-Cities Airport,P-S,395348.0
"Pullman / Moscow, Idaho",PUW,PUW,KPUW,Pullman–Moscow Regional Airport,P-N,66669.0
Seattle,BFI,BFI,KBFI,King County International Airport (Boeing Field),P-N,18586.0
Seattle / Tacoma (SeaTac),SEA,SEA,KSEA,Seattle–Tacoma International Airport,P-L,24024908.0
Spokane,GEG,GEG,KGEG,Spokane International Airport (Geiger Field),P-S,1872781.0
Walla Walla,ALW,ALW,KALW,Walla Walla Regional Airport,P-N,49527.0
Wenatchee,EAT,EAT,KEAT,Pangborn Memorial Airport,P-N,64528.0
Yakima,YKM,YKM,KYKM,Yakima Air Terminal (McAllister Field),P-N,69510.0
WEST VIRGINIA,,,,,,
Charleston,CRW,CRW,KCRW,Yeager Airport,P-N,164240.0
Clarksburg,CKB,CKB,KCKB,North Central West Virginia Airport (was Harrison-Marion Regional),P-N,46508.0
Huntington,HTS,HTS,KHTS,Tri-State Airport (Milton J. Ferguson Field),P-N,91091.0
Lewisburg,LWB,LWB,KLWB,Greenbrier Valley Airport,P-N,10048.0
WISCONSIN,,,,,,
Appleton / Fox Cities,ATW,ATW,KATW,Appleton International Airport,P-S,474885.0
Eau Claire,EAU,EAU,KEAU,Chippewa Valley Regional Airport,P-N,25856.0
Green Bay,GRB,GRB,KGRB,Green Bay–Austin Straubel International Airport,P-N,330478.0
La Crosse,LSE,LSE,KLSE,La Crosse Regional Airport,P-N,43681.0
Madison,MSN,MSN,KMSN,Dane County Regional Airport (Truax Field),P-S,1037973.0
Milwaukee,MKE,MKE,KMKE,Milwaukee Mitchell International Airport,P-M,2959810.0
Mosinee,CWA,CWA,KCWA,Central Wisconsin Airport,P-N,84775.0
Rhinelander,RHI,RHI,KRHI,Rhinelander–Oneida County Airport,P-N,20986.0
WYOMING,,,,,,
Casper,CPR,CPR,KCPR,Casper–Natrona County International Airport,P-N,66629.0
Cody,COD,COD,KCOD,Yellowstone Regional Airport,P-N,37349.0
Gillette,GCC,GCC,KGCC,Gillette–Campbell County Airport,P-N,23873.0
Jackson,JAC,JAC,KJAC,Jackson Hole Airport,P-S,497548.0
Laramie,LAR,LAR,KLAR,Laramie Regional Airport,P-N,16728.0
Riverton,RIW,RIW,KRIW,Central Wyoming Regional Airport (was Riverton Regional),P-N,15420.0
Rock Springs,RKS,RKS,KRKS,Southwest Wyoming Regional Airport (Rock Springs–Sweetwater County Airport),P-N,16679.0
Sheridan,SHR,SHR,KSHR,Sheridan County Airport,P-N,23920.0
GUAM,,,,,,
Agana / Tamuning,GUM,GUM,PGUM,Antonio B. Won Pat International Airport,P-N,1736131.0
NORTHERN MARIANAS,,,,,,
"Obyan, Saipan Island",GSN,SPN,PGSN,Saipan International Airport (Francisco C. Ada),P-N,595181.0
Tinian Island,TNI,TIQ,PGWT,Tinian International Airport (West Tinian),P-N,38664.0
PUERTO RICO,,,,,,
Aguadilla,BQN,BQN,TJBQ,Rafael Hernández Airport,P-N,294921.0
Ceiba,RVR,NRR,TJRV,José Aponte de la Torre Airport,P-N,21870.0
Culebra,CPX,CPX,TJCP,Benjamín Rivera Noriega Airport,P-N,14612.0
Ponce,PSE,PSE,TJPS,Mercedita Airport,P-N,91966.0
San Juan,SIG,SIG,TJIG,Fernando Luis Ribas Dominicci Airport (Isla Grande Airport),P-N,14106.0
San Juan / Carolina,SJU,SJU,TJSJ,Luis Muñoz Marín International Airport,P-M,4033412.0
Vieques,VQS,VQS,TJVQ,Antonio Rivera Rodríguez Airport,P-N,29022.0
U.S. VIRGIN ISLANDS,,,,,,
"Charlotte Amalie, St. Thomas",STT,STT,TIST,Cyril E. King Airport,P-S,417871.0
"Christiansted, St. Croix",STX,STX,TISX,Henry E. Rohlsen Airport,P-N,212812.0
